in1,in2,out1,out2
1,90,32,137
1,189,233,18
1,169,122,219
1,164,199,85
1,8,145,195
1,220,122,127
0,14,54,1
1,197,188,89
0,89,107,84
0,229,254,54
1,22,23,56
0,244,41,92
1,115,122,58
0,15,177,168
1,146,205,253
1,81,24,151
1,52,1,101
1,54,97,154
0,44,94,248
1,64,71,78
0,0,63,74
0,153,218,8
1,45,201,79
1,133,242,99
0,182,177,72
1,156,87,20
1,4,150,254
0,143,162,123
1,248,22,114
1,16,87,69
1,210,100,183
0,166,132,117
0,225,105,26
1,212,1,114
1,31,27,86
1,238,207,158
1,92,195,80
1,87,208,64
1,9,216,231
1,7,60,92
1,2,15,236
0,53,117,122
1,143,142,90
0,109,163,71
1,50,175,115
0,128,249,9
0,176,202,83
0,68,55,126
0,76,173,74
0,72,178,40
1,88,71,124
1,200,33,2
1,39,198,17
1,211,250,253
0,16,93,165
0,100,0,85
0,17,33,213
1,72,26,228
1,129,14,198
0,102,45,220
0,126,184,148
0,46,61,235
0,155,95,151
1,183,62,197
1,149,87,76
0,95,165,24
1,68,127,168
0,254,170,189
0,170,51,27
0,7,0,190
1,131,215,45
0,36,141,185
1,218,69,206
0,81,2,87
1,80,33,198
0,8,250,203
1,252,205,111
1,161,186,124
1,150,203,234
1,128,95,118
0,190,82,78
1,107,156,233
0,240,62,147
0,247,191,184
0,181,179,246
1,239,224,40
1,235,229,177
0,138,13,160
0,252,107,55
1,67,44,130
0,104,204,31
1,102,131,222
1,132,181,31
1,152,152,13
0,10,52,68
1,109,153,88
0,228,15,109
1,127,32,53
0,160,145,252
1,25,47,72
1,198,225,83
0,207,190,243
1,199,76,147
1,110,226,220
1,231,93,232
0,173,53,128
1,71,104,132
1,122,53,220
1,66,182,135
1,111,16,229
1,148,116,60
1,104,18,233
1,49,217,12
1,17,152,209
1,223,177,220
1,191,133,255
1,76,84,223
0,139,67,107
1,179,43,101
0,180,206,39
1,125,4,94
1,95,143,26
0,245,109,5
1,124,21,196
1,241,167,195
0,241,65,142
1,106,22,50
1,51,158,231
1,153,204,152
1,69,116,69
0,171,23,102
1,230,127,118
0,167,7,153
1,56,110,177
1,192,202,99
1,123,90,20
0,106,227,195
0,107,39,78
0,243,150,250
0,169,40,146
0,62,170,112
0,71,194,216
0,86,229,19
1,201,252,135
1,70,199,225
1,83,121,208
0,28,88,106
1,77,151,232
0,117,247,244
1,207,134,40
1,130,227,12
0,152,95,173
0,140,154,63
1,160,92,152
1,195,205,226
0,29,148,196
1,93,175,106
0,215,95,78
1,181,80,136
0,164,47,79
1,170,28,109
0,226,237,29
1,171,144,1
0,64,255,127
0,9,19,38
1,240,50,20
1,94,127,253
0,54,126,195
0,32,146,165
0,149,101,140
1,116,228,177
0,24,198,75
0,127,121,92
0,113,71,74
1,247,170,168
1,117,58,191
0,179,22,42
1,142,31,212
0,205,98,45
1,6,213,207
1,100,85,188
