in1,in2,out1,out2
1,168,65,120
1,69,220,58
1,185,36,134
0,83,166,174
1,148,54,28
1,74,172,109
0,50,94,122
0,139,113,124
0,247,141,209
0,25,176,60
0,81,83,121
0,43,247,62
