in1,in2,out1,out2
0,223,131,240
0,110,204,117
0,207,125,39
1,159,59,196
0,103,231,43
1,69,90,79
0,58,68,85
1,28,227,205
1,225,98,160
1,132,217,105
0,241,89,103
1,130,140,54
0,116,150,117
0,30,51,254
0,76,231,2
0,48,17,162
1,110,47,148
0,101,13,82
1,24,217,121
1,153,151,141
0,160,65,252
0,158,157,167
0,77,95,185
0,112,214,231
1,145,134,169
1,210,137,244
1,4,211,23
1,166,208,56
0,139,218,204
0,190,69,228
1,183,114,57
1,140,176,11
1,255,246,238
0,65,24,251
0,93,117,204
0,81,202,197
0,206,0,251
0,184,14,71
1,147,125,103
0,170,26,46
1,184,134,48
0,157,216,172
1,90,31,197
1,156,56,199
1,79,39,195
1,16,52,57
1,234,86,78
0,186,0,203
1,224,193,153
0,19,59,164
1,3,136,32
1,232,55,255
0,35,15,17
1,150,170,7
1,74,224,120
0,111,128,87
0,36,73,32
0,138,143,75
0,18,184,232
1,8,46,185
1,238,17,102
1,127,26,201
0,83,126,104
1,36,146,166
1,70,63,87
1,251,84,78
0,168,73,54
0,84,238,100
0,233,33,58
1,241,251,78
0,74,167,252
0,20,38,122
0,133,133,72
1,182,192,1
0,203,64,33
1,175,133,206
0,14,181,42
1,62,147,131
0,5,10,248
0,255,137,68
0,85,213,238
0,173,234,23
1,88,60,141
1,86,43,130
1,17,83,254
0,12,126,122
0,198,242,150
1,13,87,152
0,32,196,2
1,253,24,99
0,192,158,59
0,86,51,252
0,181,7,74
1,134,187,114
0,165,206,248
1,50,192,80
0,109,190,208
1,107,109,65
0,29,199,70
1,228,69,20
1,45,142,60
0,169,180,188
0,1,254,155
0,16,70,15
1,60,126,102
1,247,99,110
0,100,245,139
1,114,30,125
1,189,97,54
1,41,230,161
0,199,152,246
0,137,105,1
0,211,66,215
0,244,40,62
1,170,107,205
1,172,166,206
1,135,200,233
0,205,61,143
0,26,189,117
1,248,169,187
0,213,51,246
0,89,221,105
0,242,150,58
1,23,107,231
0,238,24,211
1,199,150,7
0,40,123,193
1,197,11,50
1,165,181,183
0,247,155,55
0,179,59,136
1,116,245,65
0,216,101,38
1,244,178,140
0,92,211,152
1,128,57,91
1,105,206,84
0,2,158,19
1,191,228,155
1,67,244,126
0,217,138,234
0,94,32,244
1,221,33,80
1,180,225,99
1,78,102,238
1,100,113,68
0,135,247,7
1,186,169,172
1,11,53,13
1,157,232,111
1,246,221,72
1,223,115,9
0,226,126,41
0,13,60,51
1,122,205,120
1,233,65,147
1,198,243,229
1,81,219,103
1,219,72,16
0,232,35,181
0,56,254,23
0,146,36,247
1,20,242,10
1,148,19,232
1,211,21,116
0,44,156,124
1,2,6,139
0,124,65,0
0,156,101,210
1,120,193,230
1,242,200,138
1,85,221,6
0,148,198,212
0,210,50,37
1,192,24,23
0,176,162,201
1,121,36,164
0,118,140,86
1,19,88,206
0,38,203,20
1,203,157,224
1,47,246,98
0,150,56,127
0,127,220,188
1,115,2,169
0,251,68,26
0,0,254,95
1,43,184,50
1,236,31,98
0,235,246,203
0,231,76,241
0,180,202,28
0,43,245,68
1,21,171,68
1,39,235,254
0,69,61,152
1,61,195,138
1,215,157,159
1,139,185,97
1,206,118,136
1,195,105,178
0,55,163,200
0,250,231,213
1,231,214,17
1,249,29,181
0,61,193,247
0,9,66,77
1,239,234,15
1,201,104,173
0,131,17,55
1,123,201,90
1,38,12,149
1,222,82,100
1,142,40,172
0,201,187,23
1,95,184,103
1,245,118,237
0,53,228,84
0,197,47,119
1,202,87,234
1,18,29,197
1,29,158,215
0,24,194,63
0,153,12,130
1,173,74,32
1,98,226,140
0,102,176,221
1,77,63,35
1,12,149,57
0,215,68,89
1,104,242,128
0,90,59,104
1,111,248,30
0,126,95,132
0,185,246,206
0,163,162,40
1,26,246,168
0,106,199,78
1,146,213,243
1,152,50,16
1,76,73,167
0,200,210,185
1,226,144,244
0,191,161,51
1,176,60,7
0,175,121,172
1,64,178,171
1,94,74,183
0,25,57,138
1,204,249,193
0,28,124,125
1,53,70,173
1,229,58,178
0,162,203,97
0,119,45,123
0,87,24,142
1,131,72,122
1,237,102,18
1,112,72,229
1,14,251,79
1,63,115,36
1,149,99,121
1,220,44,75
0,172,163,38
1,185,166,0
0,208,7,211
0,177,197,221
1,243,113,198
0,42,24,178
1,93,82,127
0,97,159,101
0,225,111,170
0,64,37,113
0,91,82,35
0,152,204,117
1,124,21,92
0,145,41,252
0,151,235,22
1,68,163,85
1,174,76,176
1,34,55,121
1,133,218,103
1,161,170,176
0,45,6,143
0,189,209,62
0,248,53,198
1,254,110,115
0,237,65,129
0,63,171,119
1,214,127,162
0,60,251,171
1,117,43,31
1,71,193,192
0,80,94,48
0,154,218,212
0,11,63,3
0,149,55,195
0,187,235,103
0,15,182,79
1,83,52,140
1,227,175,55
0,49,62,38
0,143,168,62
1,160,4,0
1,125,144,186
1,87,204,187
0,254,246,130
1,65,222,232
1,56,233,104
0,229,219,52
0,252,172,37
0,155,226,193
1,0,195,88
0,130,161,189
0,4,210,106
0,34,79,19
0,54,77,154
1,178,82,163
0,219,67,142
0,88,10,213
0,72,134,144
0,82,252,95
0,132,95,220
0,27,108,233
1,58,197,143
1,177,75,192
1,171,136,228
1,162,59,55
0,141,199,112
0,147,237,48
0,39,203,246
1,190,139,239
1,37,84,167
1,35,181,170
0,8,40,240
0,236,33,204
1,89,242,226
0,67,163,255
0,129,134,42
1,141,115,219
1,187,100,157
